,Name,account_url,bio,post_desc,post_img
10,Rekart Innovations Private Limited,https://www.linkedin.com/company/rekart-innovations-pvt-ltd/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A13383715,1h • ,"That's great news! The Central Pollution Control Board (CPCB) launching an online portal for Battery waste Extended Producer Responsibility (EPR) registration will definitely make the process more convenient and accessible for stakeholders.

EPR is a concept where producers of goods, in this case, batteries, take responsibility for the waste generated from their products and manage it in an environmentally sound manner. With the launch of this online portal, battery producers can register themselves for EPR and fulfill their obligations in a timely manner.

Through our , you can register as an  registration under stakeholders defined as Recycler, Importer, Producers and manufacturer.

Overall, the launch of this online portal is a positive step towards promoting sustainable waste management practices and reducing the environmental impact of battery waste in India.
         
        ",
11,Hindustan E-waste,https://www.linkedin.com/in/hindustan-e-waste-9b5837104?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABp2x9kBusTS2-B3D8pAXWIM4OuyA8XMB8o,Producer Responsibility Organization (PRO),"#Dear friends #recycle your #electronic waste #hindustanewaste because #Environment is our basic #need, we should #not waste it for our #greed.
👇
📞18003132414

📧",https://media.licdn.com/dms/image/D4D22AQHGmoUVVOjp7w/feedshare-shrink_800/0/1679981949234?e=1683158400&v=beta&t=W4XEHxFO4FAL9qECR2Sn7unSdheZcLZO9iFQxUDbAOk
12,Himanshu Tilwankar,https://www.linkedin.com/in/himanshu-tilwankar-003365239?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADtRu8MBGaHS4Px0Prnik8Mimo9HsSM9T94,"Environmental and Plastic waste management, EPR Services and Liaising, Environmental Advisory Services",It was an absolute Honor to be Guest speaker at Federation of Gujarat Industries (FGI) Vadodara on Plastic Waste Management and #wastemanagement #EPR,https://media.licdn.com/dms/image/D5622AQFeBWa_rojXUw/feedshare-shrink_800/0/1679988231953?e=1683158400&v=beta&t=t1dzG-Jv5n3OVn_ofD6l-5xU3MN6aSFqwx3s7FaNvHM
13,CLEAN INDIA RECYCLING PRIVATE LIMITED,https://www.linkedin.com/company/clean-india-recycling-private-limited/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A89986820,20h • ,"E-waste Recycling - a small task for big rewards.
Recycle for the greener tomorrow.

Clean India Recycling Pvt Ltd - your e-waste recycling partner , reach us at toll free 1800-5727-486 |",
14,Noopur Raj,https://www.linkedin.com/in/noopur-raj-461484156?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACVx9YkBVr7QjYHwjOMioRNd5Yp90-05I6o,Plastic EPR Consultant | Hazardous Waste Management | EHS | Sustainability | Circular Economy | Waste water treatment | ESG | EIA - Environmental Impact Assessment |,"Plastic waste management is a crucial step.

To reduce, reuse and recycle ♻

Empowering recycling industries is very important. To lessen the plastic pollution load from the environment.

Let's connect and eliminate plastic as much as possible.

Connect with our team at to get Plastic EPR solutions.

Please visit our website for environmental solutions",
15,Tapan Dash,https://www.linkedin.com/in/tapan-dash-baa90824?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUeKLIBD1_p9MqbcBN8wxSOlusXq1ip-eg,"16+ Years Experience in Supply Chain, Operations, Procurement, Sales, Marketing, P&L |","Signing off after 5.3 years (or you can say laid off) - emotionally i felt like i was crying but God knows tears didn't come out. I had given everything it to start from scratch to make INR 1100 Millions Business Operations in last 5+ years.


Looking for new opportunities (immediate joiner)
(Supply Chain Management)
, and can join immediately across Globally.

Holistically I'm having 16+ years’ of experience and currently handling 4 States (, , & region) across business operations & Supply Chain Management.

(Manufacturing & services)
/ Project Management
/
management
& Logistics
Management
Management
Management
Management
Liaising with

Please spread the word by tagging as much as possible & Thank you in advance for any , advice, or you can offer.",
16,Pusshp Kr. Singh,https://www.linkedin.com/in/pusshp-kr-singh-1b862914?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALwp9wBkGxY4rZIQwv5aN0eW37_oGv8ick,Associate Vice President -Alliance & Enterprise Business (India') |Plastic Credits| EPR Services| Sustainability | Plastic Neutrality| Circular Economy |Environmental Services | PWM & Social Impact,"I'm thrilled to be starting a new position ( I've been promoted) as Associate Vice President -Alliance & Enterprise Business at @EcoEx! I am heartily thankful to my leads /management for the faith that they have in me and to recognize my efforts during my one year working at Sir Sir
Now, I am looking forward to learning more as I take on this new role.
Thankyou !",
17,Dr. Payal Nandurkar,https://www.linkedin.com/in/dr-payal-nandurkar-88417b15?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMM4iQBobI_7iIsBAozIxdbWyzVY0r3Tbo,Social Entrepreneur | Environmentalist | Start-up innovator | Ex-RIL| Social enthusiast | Chemistry expert | Waste Management and Recycling consultant | R&D Process innovations | Scale-up from lab to market,"I am blessed and honoured to recieve Winners Navratna Award- entrepreneur category from my Spiritual Guru Sh Shashikant Khamkar sir. Sharing stage with Kargil Hero Deepchand ji.. Highly inspired by his patriotic journey!!!

Thank you WE team



WE care for a sustainable future!",https://media.licdn.com/dms/image/C4D22AQE1wiopjf5hAA/feedshare-shrink_2048_1536/0/1675702134275?e=1683158400&v=beta&t=XCfDHjNz0e6ZU6W1puSQrUgf0Tu1qkSCOzvTP-V-X9g
18,Prabhakar Mishra,https://www.linkedin.com/in/prabhakar-mishra-0a386322?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAATA-rsB7Xgei2K4o7vWe1jp-VyI-ozEjmY,"Associate Director, Food Regulatory Affairs at Perfetti Van Melle","“Central Pollution Control Board (CPCB)”, referring the EPR Guidelines on Plastic Waste notified by “Ministry of Environment, Forest and Climate Change” ( MoEFCC), issued order in Dec 2022 mandating “Producers, Importers & Brand Owners (PIBOs)” to upload sale/procurement data of the Plastic Packaging against each invoice & category-wise starting FY 2022-23 on CPCB’s Plastic EPR portal for evaluation of the EPR target.

Considering this requirement as too complex and complicated to comply, PIBOs approached MoEFCC and requested for bulk upload of the data instead of invoice wise while allowing more time to comply with the said order for the FY 2022-23.

MoEFCC acknowledged the genuine concerns of PIBOs and provided much needed relief on both the requests as stated in the attached Office Memorandum. #data#business#ppwmssociety",https://media.licdn.com/dms/image/C4D22AQGBGTwWqEvbmg/feedshare-shrink_800/0/1679188210288?e=1683158400&v=beta&t=OFTEPUF2loIskA5A3HvS2daP6zSjnCm5RiAqcndq3LM
19,Preksha Rajput,https://www.linkedin.com/in/preksha-rajput-b6300043?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAkTtnsBPktKWJdSZ4HJ11kU8TePpYamkTs,Manager - HRBP,"EcoEx is looking for more talents to join our company.

If you are looking for a stable career in Recycling Industry, you have passion for your work and enthusiasm to deliver more fill in your details.

Link -",
20,Jaideep Gokhale,https://www.linkedin.com/in/jaideep-gokhale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADAS0oBF_YcIoizHF4fFVao3lfEZdu45Jw,"ESG / Sustainability & Business leader | ex B2B, FMCG | now Consulting & Advisory","After a lifetime working with Tetra Pak, I now move on to my next chapter. Some memories I shall forever cherish: of close friendships with colleagues, customers & ecosystem partners , achievements, the special moments, epic failures & lessons learnt, the fun times & celebrations.

The dapper dude in the pic told me that Sustainability & ESG needs to be my next chapter – my recent past has been all about it & that’s our collective present & future. So I will follow my inner voice for sure. 

Especially when it comes to my experience in Packaging Sustainability & the Circular Economy (the regulatory landscape, Extended Producer Responsibility, founding industry associations, building a post-consumer collection & recycling ecosystem, creating award-winning programs, building successful teams, shaping public sentiment et al), this experience has been invaluable & I am proud to have created or been a part of several industry-first initiatives. We leveraged our good work around ESG to greatly augment our brand position in the minds of our customers, consumers & other audiences. And I hope to use this lifetime of experience & competence to advise, mentor, guide & partner companies large & small, start-ups, Governments, multilateral organisations etc. Ask (& I'll tell) just not what ESG can do for you, but also what you can do for ESG 😊

I do look forward to your good wishes & to hearing from you. Please DM or write to me: & let’s have a conversation.",https://media.licdn.com/dms/image/C4D22AQGo3edTfhvmjQ/feedshare-shrink_800/0/1654574363820?e=1683158400&v=beta&t=e0FuZAGq7yh35T3mIqiPEGUXD8xir7EHHt1ZFnhj7ow
21,"Stéphane SALIB, CFA",https://www.linkedin.com/in/stephanesalib?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAN3XKsBnk6t6-Ecb8PZw2PFXjBwHHlJDxU,Nuclear New Build Development,"At the #Nuclear #Energy Conclave organized by the India Energy Forum, I had the opportunity to provide an overview on how EDF's nuclear portfolio #EPR and #Nuward can support #India in building up its nuclear capacity and meet its target by 2070 to fight

On the Jaitapur site, EDF is proposing the Reactor, 1650 MWe of electrical output, meeting the highest standard of , , ,
The project with its 6-EPR, representing around 10 GWe, will make the best use of available land, to power more that 70 millions households and avoid 80 million tons of CO2 per year!

EDF , , has the potential to become a real game changer in the fight against climate change. With its 340 MWe electrical design, it fits perfectly for the replacement of ageing coal power plants.",https://media.licdn.com/dms/image/C4D22AQGtbohOixMK5w/feedshare-shrink_800/0/1678262087364?e=1683158400&v=beta&t=lSVl5JH4fmXYlkp45W6GSJoJCQPcwJvoeZrLjZ3-Oro
22,Tapan Dash,https://www.linkedin.com/in/tapan-dash-baa90824?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUeKLIBD1_p9MqbcBN8wxSOlusXq1ip-eg,"16+ Years Experience in Supply Chain, Operations, Procurement, Sales, Marketing, P&L |","Day 4th of Laid off & Immediate Joiner in Supply Chain Management (SCM)

I am looking for a new role for Supply Chain Management. Business Operations, Inventory handling, logistics, warehouse management and can join immediately across Globally.

Holistically I'm having 16+ years’ of experience in SCM and handled multiple States & PAN India both. Recently handled 4 states (, , & ) business operations & Supply Chain Management.

( & )
/ Project Management
/
Management
&
Management
Management
Management
Management
Liaising with

Thank you in advance for any , advice, or that you can offer. requesting to tag, repost as much as possible 🙏






Kunal S.",
23,Ujjwal Shah,https://www.linkedin.com/in/ujjwalshah?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAHbmUIBx0oked533IbD03PP7Y2FTWF6cS4,"Fire | Safety | Occupational Hygiene | Environment, Social, Governance (ESG) | EPR | Risk Consulting","Dear Patron,
This is one of our comprehensive service we provide for EPR registration in plastic and related compliances including guiding on circularity. Shared here with a brief presentation consisting of a gist of information for EPR. You may let us know your requirement at or you can consult free at +91 8160586921 during working hours in weekdays.",
24,Bhrigu Bharadwaj Pant,https://www.linkedin.com/in/pantbhrigu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABMnnN4BwOW1lhg4KJo6049JP_yWGXiUveE,Product Designer | Innovation Manager | Mechanical Engineer | DIYer | Electronics Geek | Derivatives Trader,"Insights on the new E-waste Rules coming into force from April 1, 2023.

#ewasterecycling #ewaste #ewastemanagement #epr #recycling",
25,Vivek Chaudhary,https://www.linkedin.com/in/chvivek4?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAJQeV8Br5SqXcRxK7iRnNWHthNFSx2rZN4,"An avid professional with 20 years of experience in Packaging Development, Packaging Sustainability including Plastic Waste Management, Strategic Procurement, Supply Chain and Product Marketing Management","I’m happy to share that I’m starting a new position as General Manager - Sustainability at JPFL Films Pvt Ltd / Jindal Poly Films Limited, Delhi!",
26,Kushal SENGUPTA,https://www.linkedin.com/in/kushal-sengupta-bb39673a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAhUJ_cBP1fN9ivutxGAr54m3E7zspYqB1Q,"Localisation, Training And Communications Manager for JNPP Project at EDF","It's been a busy and exciting month of February with the visit to India of the new Chairman & CEO of EDF, Mr. Luc Rémont, the French Clean Energy Days India 2023 organised by Business France and ending with the EDF's Nuclear Suppliers' Day on 23rd February 2023.

During the course of these events, EDF also visited the factories of Gauges Bourbon in Panvel, Forbes Marshall in Pune and Indiana Gratings at Jejuri. These visits were carried out under the localisation strategy for the Jaitapur Nuclear Power Plant Project. EDF would like to thank the companies for organising the shop floor visits and spending their valuable time to discuss their nuclear capabilities with us.

@Sébastien De Monplanet",https://media.licdn.com/dms/image/C4D22AQGTYz5gBHzMBA/feedshare-shrink_800/0/1677263648473?e=1683158400&v=beta&t=TyzHhTTzgv2gCfd-SvoSsSwyCWf6diqVmIgCk5WzWAw
27,Tapan Dash,https://www.linkedin.com/in/tapan-dash-baa90824?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUeKLIBD1_p9MqbcBN8wxSOlusXq1ip-eg,"16+ Years Experience in Supply Chain, Operations, Procurement, Sales, Marketing, P&L |","Laid off & Immediate Joiner in Supply Chain Management !

Yes, you read it right as I am looking for a new role
#SupplyChain (Supply Chain Management)
#Business #Operations , #logisticsmanagement and can join immediately across Globally.

Holistically I'm having 16+ years’ of experience and currently handling 4 States (Telangana, Andhra Pradesh, West Bengal & Odisha region) across business operations & Supply Chain Management.

Business Operations (Manufacturing & services)
/ Project Management
/
& Logistics
Management
People Management
Management
Vendor Management
Liaising with Government

Thank you in advance for any , advice, or you can offer.",
28,Amit Saha,https://www.linkedin.com/in/amitcoke?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAFP52EBIEaMfyEwu91gxYkAHHY7FLQumK0,"Founded PRO India to create Circular Economy in Plastics | Plastics EPR & Advocacy | Created Plastic X Change | ESG & Risk mapping Tool ProTechT | CSO , 30+ yrs @ Coke , Gillette & Eicher","Looking for Director who can lead EPR for us today and become Co-Founder tomorrow.

This is top position and thus requires you to have solid experience in EPR space from top EPR providers in India.

EPR is not just for Plastics , but Electronics , Batteries, Tyres , Vehicles & even Textiles. Creating Circular Economy Models is key

thankyou

Amit",
29,Nitin Chitkara,https://www.linkedin.com/in/nitinchitkara79?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAG13e8BJamjwp-111D2u7uq_xNRipGvjes,Now creating nations first TDR exchange!! Creating Market Linkages for Circular economy! #EPR #ELV #Emission #ESG #Cap&trade #plasticcredits #TDR #TDRexchange #b2bmarkets #saas,I’m happy to share that I’m starting a new position as Executive Vice President at NCDEX e Markets Ltd.! #ESG #EPR #eMARKETS #elv,
30,A L N Rao,https://www.linkedin.com/in/a-l-n-rao-4656a23b?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAh3cg0BWZciDrAMI-9uS6Wje6SG834xDkQ,"CEO-Exigo Recycling - Ewaste/Plastic/Li-ion,EV Battery/Waste 2 Energy","EPR (Extended Producer's Responsibility) is the most significant step towards the future of waste management and recycling in India.
Our fully integrated processes and technology are built to cater to the EPR mandates of producers across batteries, electronics, electrical components, plastics and solar panels.

With the updated Waste Management Rules 2022, we are supporting producers with end-to-end EPR management. Get in touch with us at mailto: to consult with our team of experts.",
31,Ramani Mani,https://www.linkedin.com/in/ramani-mani-6a27a142?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAkD6JoBR5E_AEyXwy9dRU0ATc6oJLXja-U,"Founder & MD of the Mani Group of Companies {Mani Sales (Bangalore), Load Controls India Pvt. Ltd . & Modutec Ready Panels Pvt. Ltd.}","ANOTHER INTERVIEW AT ELECRAMA...

Thanks, EPR, for the post. It was a pleasure for me to cover the following points in the Interview at Elecrama:

1. Types of Panels on display at Elecrama, the features, advantages & benefits. 
2. Why do people prefer Draw Out Panels? 
3. The challenges/convenience in making structural changes to the Panel Enclosure. 
4. The kind of investments Modutec plans to make in the coming years to add value to this Industry.
5. The genesis of the Modutec modular switchboard enclosure system.
6. Modutec enclosure life expectancy and maintenance
7. Association with EPR and the platform and services they provide.

Much gratitude, and may we all join hands in Simplifying Panel Building so that Electrical Distribution becomes Faster, Smarter & Greener!",
32,Kashyap Devulapally (KD),https://www.linkedin.com/in/kashyap-devulapally-kd-b377b118?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAOtXBsBj_bUgCsrYDfDg6zlGg5Ngg1PbvU,Environmentalist | Zero waste designs | Waste Management Leadership/Digital Solutions| EPR | Compliance | Co-Founder-ELIMA I Working President-Vridhi Foundation,"Exciting opportunity alert!

We're looking for a Sr. Manager/Manager-Compliance with a focus on Extended Producer Responsibility to join our team. The ideal candidate will have extensive experience in compliance management, a deep understanding of EPR regulations, and excellent leadership skills.

If you're passionate about circular economy and want to make a positive impact on the environment, this is the perfect role for you.

We invite you to join our team and contribute to our mission of building a sustainable future for generations to come!",
33,SHRUTI GARG,https://www.linkedin.com/in/shruti-garg-78b23614a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACP8V9sBvS0s194WWh1cNBUeFqIbDbJ5cTw,#letstalkabout #ESG #Sustainable reporting#EIA#Decarbonization#EPR Plastic CSR | SUSTAINABILITY| LCA|CIRCULAR ECONOMY|GHG INVENTORISATION| RESEARCHER,"Countdown to Global Recycling Day 2023 ♻️

Theme: Creative Innovation✨

For more eco-friendly services, check out &

#plasticcredit#",
